地圖編號,第幾級,主題,詞語數,需要的素材
M35,3,傳統節日,30,「傳統節日」完整主題字卡
M38,3,日常衛生與健康,30,「日常衛生與健康」完整主題字卡
M40,3,服裝與穿戴,30,「服裝與穿戴」完整主題字卡
M33,4,數碼工具與操作,30,「數碼工具與操作」完整主題字卡
M28,6,天氣、季節與自然現象,30,「天氣、季節與自然現象」完整主題字卡
M32,6,社區場所與城市生活,30,「社區場所與城市生活」完整主題字卡
M42,6,服裝、穿戴與衣物製作,30,「服裝、穿戴與衣物製作」完整主題字卡
M25,7,課堂學習與活動,30,「課堂學習與活動」完整主題字卡
M36,7,中國文化與藝術,30,「中國文化與藝術」完整主題字卡
M34,8,媒體與通訊,30,「媒體與通訊」完整主題字卡
M37,8,歷史與古蹟,30,「歷史與古蹟」完整主題字卡
M39,8,就醫與疾病預防,30,「就醫與疾病預防」完整主題字卡
M41,8,社區、服務與生活延伸,30,「社區、服務與生活延伸」完整主題字卡
M30,9,品格與自我管理,30,「品格與自我管理」完整主題字卡
M12,10,形容與視覺描述,30,「形容與視覺描述」完整主題字卡
